Id,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
10760,MATSUDA,COMPACT,2.5,4,AS6,X,5.87 L/100 km,11.62 L/100 km,0.85 L/10km,476.9991552
10761,FOLD,PICKUP TRUCK - STANDARD,5,8,AS10,E,25.92 liters per 100 km,zero,15.68 L/100 km,330
10762,BMV,COMPACT,3,6,M6,Z,19.85 L/100km,2.21 L/100km,1.19 L/10km,285
10763,NIRRAN,MID-SIZE,1.4,4,not-recorded,Z,9.64 MPG (AS),13.68 L/100km,1.96 L/10km,220
10764,FOLD,SUV - SMALL,1.4,4,AS6,X,7.11 km per L,14.32 L/100km,1.42 L/10km,202
10765,CHEVO,COMPACT,3.6,,M6,X,23.48 L/100 km,33.97 mpg Imp.,1.67 L/10km,270
10766,CHEVO,TWO-SEATER,1.5,4,AS8,,1.32 L/100km,146.42 MPG (AS),162.36 MPG (AS),285
10767,KIO,SUV - SMALL,3,6,unestablished,X,125.10 mpg Imp.,6.14 km/L,8.57 L/100 km,288
10768,CHEVO,MID-SIZE,1.5,4,A9,Z,14.53 MPG (AS),13.68 km per L,,209
10769,DOGE,MID-SIZE,5.7,8,A8,X,5.06 km/L,6.28 liters per 100 km,1.37 L/10km,358.716294
10770,LAND CRAWLER,SUV - SMALL,2,4,AS9,Z,6.29 liters per 100 km,47.43 mpg Imp.,46.00 mpg Imp.,224
10771,TOLVO,SUV - SMALL,2.5,5,AS6,X,33.73 MPG (AS),0.74 L/100km,24.00 km/L,275
10772,FOLKSWA,STATION WAGON - SMALL,1.8,4,AM6,X,23.83 L/100km,11.29 L/100km,,221
10773,KIO,SUV - SMALL,2,4,A6,X,4.37 km per L,13.20 km per L,14.70 MPG (AS),275
10774,BMV,SUBCOMPACT,2,4,AS8,not-recorded,-9999,5.70 liters per 100 km,-1,228
10775,BMV,MID-SIZE,3,,A8,Z,17.23 liters per 100 km,37.10 km/L,22.00 MPG (AS),229
10776,NIRRAN,MID-SIZE,1.8,4,not-recorded,X,8.82 km/L,4.79 km per L,15.62 L/100 km,161
10777,DOGE,FULL-SIZE,3.6,6,A8,Z,0.73 L/10km,55.37 mpg Imp.,6.31 L/100km,361
10778,CHEVO,unspecified,1.5,4,A6,not-recorded,0.18 L/10km,571.87 km per L,93.92 km per L,339.6046399
10779,TOYOTI,MID-SIZE,unspecified,4,M6,X,24.74 L/100 km,8.15 km per L,1.91 L/10km,192
10780,FOLKSWA,COMPACT,2,4,M6,D,0.86 L/100km,20.05 L/100 km,9.49 liters per 100 km,178
10781,RYUNDAI,SUV - SMALL,2.4,4,AS6,X,12.51 L/100km,116.13 mpg Imp.,12.53 km/L,245
10782,CADILUXE,COMPACT,,6,M6,Z,0.36 L/10km,28.58 liters per 100 km,14.85 liters per 100 km,296
10783,TOYOTI,SUV - STANDARD,3.5,6,AS6,X,2.42 km/L,1.10 L/10km,3.62 km per L,282
10784,NIRRAN,unspecified,2,4,M6,X,3.20 km per L,8.15 km per L,10.36 MPG (AS),201
10785,LAND CRAWLER,SUV - STANDARD,5,8,AS8,Z,5.45 L/100 km,10.14 L/100 km,7.56 L/100km,304
10786,KIO,STATION WAGON - MID-SIZE,2,4,AS6,X,4.47 km per L,9.71 L/100km,16.93 mpg Imp.,202
10787,TOLVO,SUV - STANDARD,,4,AS8,Z,20.61 liters per 100 km,0.76 L/100km,20.14 MPG (AS),252
10788,CADILUXE,SUV - STANDARD,6.2,,missing,Z,1.07 L/10km,5.05 km per L,6.77 km per L,383
10789,MATSUDA,SUV - SMALL,2,4,AS6,X,5.31 mpg Imp.,12.32 liters per 100 km,34.79 liters per 100 km,182
10790,TOYOTI,MID-SIZE,1.8,4,M6,X,15.19 km per L,21.89 km/L,5.68 L/100 km,134
10791,LECUS,SUBCOMPACT,missing,8,AS6,Z,6.66 km/L,0.31 L/10km,24.41 MPG (AS),267
10792,KIO,FULL-SIZE,,8,na,X,11.53 MPG (AS),0.23 L/10km,12.27 liters per 100 km,259
10793,ASURA,COMPACT,2.4,,AM8,Z,10.62 liters per 100 km,6.37 L/100 km,11.48 km per L,189
10794,CADILUXE,FULL-SIZE,3.6,6,missing,X,1.50 L/10km,3.56 L/100km,9.85 L/100 km,269
10795,BMV,SUV - STANDARD,missing,,AS8,Z,7.03 L/100 km,12.72 mpg Imp.,13.86 liters per 100 km,244
10796,FOLD,FULL-SIZE,4,,AS6,X,17.99 L/100km,11.32 mpg Imp.,4.73 km/L,272
10797,NIRRAN,TWO-SEATER,3.7,6,M6,Z,12.50 mpg Imp.,12.08 L/100 km,13.16 MPG (AS),283
10798,RYUNDAI,SUV - SMALL,6.4,8,AM7,X,256.14 MPG (AS),102.51 km per L,0.09 L/10km,202
10799,DOGE,FULL-SIZE,3.6,6,unestablished,X,19.31 mpg Imp.,1.47 liters per 100 km,11.48 km/L,271
10800,KIO,MID-SIZE,,4,M6,X,6.86 km/L,23.93 km/L,zero,101
10801,BMV,SUV - SMALL,3,6,AS8,Z,40.99 liters per 100 km,26.97 km per L,4.13 km/L,342
10802,FOLD,MID-SIZE,not-recorded,4,M6,X,3.14 L/10km,40.58 MPG (AS),5.03 km/L,185
10803,FOLD,SUBCOMPACT,2.3,4,AS10,X,0.11 L/10km,51.60 MPG (AS),88.17 MPG (AS),232
10804,MITSU,SUV - SMALL,2.4,4,AV6,X,7.16 km/L,20.20 MPG (AS),21.86 mpg Imp.,196
10805,FOLD,SUBCOMPACT,5,8,M6,X,6.89 km per L,12.90 L/100 km,7.25 km per L,320
10806,RYUNDAI,MID-SIZE,1.6,4,AS6,X,10.70 L/100 km,30.36 km/L,0.74 L/10km,176
10807,CHEVO,TWO-SEATER,6.2,8,M7,Z,13.58 km/L,5.84 km/L,20.00 MPG (AS),260
10808,FOLD,TWO-SEATER,3.5,unestablished,AM7,unspecified,378.36 MPG (AS),3.83 L/100km,0.21 L/10km,392
10809,CADILUXE,MID-SIZE,5,,AS8,Z,15.02 mpg Imp.,,16.86 mpg Imp.,410
10810,FOLD,PICKUP TRUCK - STANDARD,,8,AS6,X,18.34 L/100km,1.55 L/10km,17.06 L/100 km,350
10811,BMV,COMPACT,3,6,,Z,35.68 mpg Imp.,13.45 L/100km,10.41 L/100 km,225
10812,FOLD,,2,4,AS6,X,6.17 km/L,6.08 L/100km,8.59 km per L,280
10813,DOGE,FULL-SIZE,6.2,8,A8,Z,6.46 km per L,22.15 L/100km,1.85 L/10km,408
10814,BMV,COMPACT,2.8,4,M6,Z,8.63 L/100km,18.05 liters per 100 km,12.87 L/100km,210
10815,KIO,MID-SIZE,not-available,4,AM6,X,41.32 mpg Imp.,16.41 MPG (AS),,150
10816,FOLKSWA,COMPACT,3,6,M6,Z,0.05 L/10km,9.07 liters per 100 km,65.11 mpg Imp.,216
10817,FIAR,MINICOMPACT,1.8,4,M5,X,3.53 L/10km,15.86 km/L,22.26 L/100 km,151
10818,CADILUXE,FULL-SIZE,3.6,,AS8,Z,19.49 liters per 100 km,12.74 L/100 km,16.45 liters per 100 km,223
10819,ASURA,MID-SIZE,3.7,6,AS6,Z,23.24 L/100km,15.12 mpg Imp.,21.19 L/100 km,259
10820,RYUNDAI,SUV - SMALL,2.4,4,AS6,X,13.61 km/L,31.04 mpg Imp.,0.81 L/10km,239
10821,JIPU,SUV - SMALL,2.4,4,M5,X,10.56 km/L,0.94 L/10km,0.94 L/10km,216
10822,FOLD,na,1.5,3,A8,X,0.78 L/10km,1.88 L/10km,12.78 liters per 100 km,192
10823,RYUNDAI,MID-SIZE,1.6,4,AM7,X,18.24 liters per 100 km,11.31 MPG (AS),12.13 MPG (AS),183
10824,FOLKSWA,MID-SIZE,1.8,4,AS6,X,27.46 km per L,10.62 L/100 km,14.74 km/L,215
10825,CADILUXE,MID-SIZE,1.6,4,AS8,Z,7.62 L/100 km,58.71 MPG (AS),0.60 L/10km,219
10826,LAND CRAWLER,SUV - SMALL,4.3,,AS9,Z,15.63 km/L,5.24 km/L,23.34 mpg Imp.,234
10827,FOLD,SUBCOMPACT,2.3,4,M6,X,23.79 L/100 km,23.85 liters per 100 km,4.20 km/L,234
10828,FOLKSWA,COMPACT,2,4,M6,X,14.30 km per L,19.86 km per L,38.48 MPG (AS),194
10829,TOYOTI,COMPACT,3.3,6,AV7,X,6.47 km/L,92.38 km/L,0.90 L/10km,197
10830,MATSUDA,MID-SIZE,2.5,4,AS6,X,1.93 km per L,4.64 L/100km,30.61 L/100 km,179
10831,CHEVO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,11.20 liters per 100 km,2.35 L/10km,14.06 MPG (AS),339
10832,CHEVO,PICKUP TRUCK - STANDARD,5.3,,A8,X,1.81 L/10km,1.03 L/10km,6.85 km per L,329
10833,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,1.22 L/10km,0.62 L/100 km,40.31 mpg Imp.,248
10834,TOYOTI,SUV - STANDARD,3.5,6,AS8,X,-9999,8.38 km/L,6.17 L/100km,247
10835,CADILUXE,COMPACT,3.6,,AS8,,21.26 km/L,23.98 L/100km,21.11 mpg Imp.,303
10836,BMV,SUBCOMPACT,3,6,M6,Z,2.92 L/100 km,5.46 km per L,23.88 MPG (AS),238
10837,CHEVO,PICKUP TRUCK - SMALL,3.6,6,na,X,21.97 MPG (AS),7.01 km per L,8.12 km per L,275
10838,FOLD,SUV - STANDARD,5.4,8,na,E,273.05 MPG (AS),0,123.19 mpg Imp.,377
10839,KIO,STATION WAGON - SMALL,1.6,4,AM6,X,45.01 mpg Imp.,101.59 mpg Imp.,50.01 MPG (AS),170
10840,JIPU,SUV - SMALL,3.6,,A5,X,2.18 L/10km,1209.55 km per L,12.02 L/100km,328
10841,FOLD,missing,2.7,,AS10,X,3.90 L/10km,15.97 km/L,4.12 km/L,260
10842,BARUSU,STATION WAGON - SMALL,,,AV7,X,3.75 L/100 km,1.07 liters per 100 km,2.55 L/100 km,160
10843,CHEVO,VAN - PASSENGER,6,,A6,X,1.72 L/10km,8.11 km/L,9999,356
10844,CADILUXE,SUV - SMALL,not-recorded,4,AS9,Z,3.36 L/100 km,28.51 L/100km,19.25 mpg Imp.,224
10845,DOGE,MINIVAN,3.6,6,A6,E,12.88 km/L,17.40 km per L,6.86 L/100 km,283
10846,CHEVO,PICKUP TRUCK - SMALL,-1,8,A8,X,9.43 liters per 100 km,31.21 L/100km,1.92 L/10km,513
10847,CHEVO,PICKUP TRUCK - STANDARD,,,A6,E,19.95 L/100km,12.83 mpg Imp.,4.79 km per L,277
10848,CHEVO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,3.93 km per L,55.79 MPG (AS),6.29 km/L,294
10849,GONDA,unestablished,1.5,4,AV7,Z,0.91 L/10km,7.62 km/L,not-available,177
10850,CHEVO,STATION WAGON - SMALL,1.4,4,M6,X,2.26 L/100km,8.01 liters per 100 km,4.85 liters per 100 km,108
10851,BMV,SUBCOMPACT,3,,M6,Z,21.83 MPG (AS),15.70 L/100 km,12.99 L/100km,232
10852,FOLKSWA,COMPACT,2,4,M6,Z,10.57 liters per 100 km,48.72 L/100km,27.74 liters per 100 km,233
10853,DOGE,FULL-SIZE,3.6,6,A8,E,22.37 mpg Imp.,9.51 L/100 km,1.12 L/10km,223
10854,JIPU,SUV - SMALL,1.3,4,A9,X,4.66 km/L,12.90 L/100 km,17.60 L/100km,212
10855,TOLVO,COMPACT,2,4,not-recorded,Z,17.99 L/100km,1.02 L/10km,14.47 L/100 km,236
10856,RYUNDAI,COMPACT,1.6,4,AM7,X,2.00 liters per 100 km,4.85 liters per 100 km,3.28 liters per 100 km,185
10857,GONDA,MINIVAN,3.5,6,AS9,X,20.28 L/100km,15.38 MPG (AS),5.54 km per L,253
10858,NIRRAN,PICKUP TRUCK - SMALL,4,6,A5,X,1.21 L/10km,4.94 L/100km,0.89 L/10km,422.4542526
10859,JIPU,SUV - SMALL,3.6,6,M6,X,0.63 L/100 km,11.61 km per L,55.72 MPG (AS),306
10860,LAND CRAWLER,SUV - STANDARD,3,6,AS8,D,3.90 km per L,8.30 km per L,1.95 L/10km,306
10861,DOGE,FULL-SIZE,,8,A5,X,29.56 MPG (AS),41.37 MPG (AS),33.92 MPG (AS),338
10862,BMV,SUBCOMPACT,3,6,AS8,not-available,18.86 liters per 100 km,9999,7.20 km/L,242
10863,BMV,SUV - STANDARD,3,6,AS8,Z,55.63 km/L,0.74 L/10km,4.31 liters per 100 km,268
10864,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,7.63 liters per 100 km,27.79 mpg Imp.,-1,307.7997399
10865,TOLVO,STATION WAGON - SMALL,2.5,5,AS6,not-recorded,22.50 km/L,14.89 liters per 100 km,9.14 L/100km,232
10866,CHEVO,SUV - STANDARD,5.3,8,A6,X,31.29 L/100km,0.40 L/10km,12.36 MPG (AS),318
10867,BMV,FULL-SIZE,3,6,AS8,D,1.48 L/10km,54.98 km/L,8.96 L/100km,239
10868,LAND CRAWLER,SUV - STANDARD,5,8,AS8,Z,2.41 L/10km,3.81 L/100km,14.95 liters per 100 km,327
10869,LECUS,COMPACT,5,8,AS8,Z,16.75 liters per 100 km,not-available,25.86 mpg Imp.,299
10870,TOYOTI,PICKUP TRUCK - SMALL,2.7,4,A4,X,47.63 km per L,0.07 L/10km,158.76 MPG (AS),245
10871,JIPU,SUV - STANDARD,3.6,6,A8,not-recorded,10.29 MPG (AS),265.73 MPG (AS),12.97 liters per 100 km,274
10872,TOYOTI,SUV - STANDARD,3.5,6,AV6,X,0.48 L/10km,18.07 km/L,19.59 km per L,188
10873,CHEVO,COMPACT,3.6,6,M6,X,6.58 km per L,-9999,1.42 L/10km,274
10874,FOLD,TWO-SEATER,3.5,6,AM7,Z,11.02 mpg Imp.,1.12 liters per 100 km,14.61 L/100 km,397
10875,KIO,COMPACT,2,4,AS6,X,20.85 MPG (AS),7.79 liters per 100 km,9.71 liters per 100 km,165
10876,LECUS,SUV - SMALL,2,4,AS6,Z,6.79 km/L,13.52 L/100 km,1.42 L/10km,235
10877,FOLKSWA,COMPACT,1.8,4,AS6,X,58.91 L/100km,42.61 MPG (AS),2.87 km per L,186
10878,RYUNDAI,SUV - SMALL,,4,unestablished,X,1.21 L/10km,5.01 L/100 km,8.91 L/100km,243
10879,BMV,SUV - STANDARD,3,,AS8,Z,16.45 MPG (AS),6.04 km per L,6.53 km/L,266
10880,FOLD,SUV - STANDARD,3.5,6,na,X,22.78 L/100km,22.05 km per L,19.39 mpg Imp.,324
10881,CHEVO,SUBCOMPACT,3.5,6,AV,X,5.93 L/100 km,13.34 L/100 km,30.48 mpg Imp.,135
10882,GONDA,SUV - SMALL,3.5,6,A5,X,1.64 L/10km,1.79 L/10km,17.08 L/100km,268
10883,FOLD,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,11.68 MPG (AS),1.93 L/10km,14.29 mpg Imp.,261
10884,JIPU,SUV - SMALL,5,8,A8,X,6.93 L/100km,39.19 mpg Imp.,14.17 km per L,365.5683184
10885,TOYOTI,SUV - STANDARD,2.4,4,AS6,X,4.01 km per L,21.46 MPG (AS),1.86 L/10km,447
10886,CHEVO,-1,3.6,6,AS8,X,22.93 MPG (AS),0.84 L/100 km,6.02 liters per 100 km,237
10887,BMV,SUBCOMPACT,3,,AM7,Z,199.29 MPG (AS),2.02 L/100 km,1.56 L/100 km,291
10888,NIRRAN,MID-SIZE,1.6,4,M6,Z,14.17 liters per 100 km,1.41 L/10km,1.41 L/10km,215
10889,TOYOTI,PICKUP TRUCK - SMALL,3.5,6,AS6,X,10.77 mpg Imp.,12.36 L/100 km,19.98 liters per 100 km,303
10890,MATSUDA,COMPACT,2.5,4,AS6,unestablished,12.54 MPG (AS),16.24 mpg Imp.,5.51 km/L,161
10891,CHEVO,PICKUP TRUCK - SMALL,,4,A8,X,17.49 L/100 km,70.54 km/L,9.75 km per L,280
10892,JIPU,SUV - SMALL,3.5,6,A9,E,6.56 km per L,6.96 liters per 100 km,8.69 km per L,201
10893,LAMBOGI,TWO-SEATER,unspecified,10,AM7,Z,27.83 L/100 km,11.72 MPG (AS),24.34 L/100 km,468
10894,TOYOTI,PICKUP TRUCK - SMALL,2.7,4,AS6,X,13.62 liters per 100 km,300.24 MPG (AS),29.99 MPG (AS),284
10895,FOLD,FULL-SIZE,3.5,,AS6,X,0.17 L/100 km,256.70 km/L,1044.68 mpg Imp.,256
10896,FIAR,MINICOMPACT,1.4,4,A6,X,10.46 km per L,50.48 mpg Imp.,36.33 mpg Imp.,208
10897,BMV,FULL-SIZE,3,not-recorded,A8,Z,15.81 L/100 km,34.93 MPG (AS),20.06 MPG (AS),317.8518162
10898,RYUNDAI,MID-SIZE,2.4,4,AS6,X,2.21 L/10km,65.35 mpg Imp.,16.67 MPG (AS),151
10899,CHEVO,SUV - SMALL,2.4,4,A6,X,13.01 liters per 100 km,3.89 liters per 100 km,11.23 km per L,240
10900,FOLD,PICKUP TRUCK - STANDARD,1.4,4,A6,E,1.10 L/10km,0.69 L/10km,10.89 km per L,286
10901,LAND CRAWLER,SUV - STANDARD,,8,AS8,Z,3457.11 mpg Imp.,0.91 L/10km,24.25 km/L,436
10902,BMV,TWO-SEATER,1.5,4,AS8,Z,17.07 L/100km,1.87 L/10km,5.62 km/L,206
10903,CHEVO,not-recorded,3,6,AS6,X,18.67 L/100 km,13.42 km per L,7.34 km/L,218
10904,FOLD,SUBCOMPACT,unestablished,6,M6,X,10.89 liters per 100 km,23.71 MPG (AS),1.05 L/10km,230
10905,TOYOTI,SUV - STANDARD,3.3,,AV6,X,17.00 mpg Imp.,7.20 L/100km,19.00 MPG (AS),198
10906,BMV,COMPACT,,,AS8,Z,7.58 L/100km,2.89 L/10km,17.15 liters per 100 km,289
10907,BMV,COMPACT,3,,AS8,not-available,21.47 MPG (AS),18.76 L/100km,6.91 km per L,227
10908,GONDA,SUV - SMALL,2.4,4,A5,X,11.07 L/100km,4.09 L/100 km,0.79 L/10km,208
10909,CHEVO,SUV - STANDARD,5.3,,A6,E,19.76 km per L,7.87 L/100km,6.33 L/100 km,270
10910,RYUNDAI,COMPACT,1.6,not-recorded,AS6,X,7.61 MPG (AS),144.62 mpg Imp.,17.89 liters per 100 km,180
10911,TOYOTI,SUV - STANDARD,unknown,6,AS5,,1.24 L/10km,50.18 mpg Imp.,9.34 liters per 100 km,306
10912,BARUSU,COMPACT,2,4,M5,X,189.36 mpg Imp.,1.68 L/100km,63.46 km/L,185
10913,RYUNDAI,FULL-SIZE,2.5,unspecified,AS8,X,17.72 L/100 km,11.49 km per L,1.37 L/10km,199
10914,BMV,SUBCOMPACT,3,6,AS8,Z,1.42 L/10km,-9999,7.89 L/100km,233
10915,FOLKSWA,COMPACT,,4,,X,29.38 mpg Imp.,9.76 L/100 km,29.18 mpg Imp.,206
10916,FOLD,SUV - STANDARD,3.5,6,AS6,X,5.38 km/L,5.17 liters per 100 km,1.26 L/10km,337
10917,TOYOTI,SUV - STANDARD,4,,,X,11.33 liters per 100 km,14.74 km per L,9.29 L/100 km,313
10918,NIRRAN,SUV - SMALL,3.5,6,AV,X,0.54 L/10km,0.78 liters per 100 km,30.03 km per L,264
10919,LECUS,SUV - SMALL,unestablished,8,AS6,X,9.03 mpg Imp.,567.49 mpg Imp.,1.74 L/10km,275
10920,TOYOTI,TWO-SEATER,3,6,AS8,Z,155.79 mpg Imp.,0.38 L/10km,2.69 L/100 km,204
10921,CADILUXE,,3.6,6,AS6,X,108.13 km/L,22.36 MPG (AS),5.24 L/100km,249
10922,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4,not-recorded,X,13.24 L/100km,22.67 km per L,0.93 L/10km,234
10923,CHEVO,PICKUP TRUCK - STANDARD,2.5,4,A8,X,7.34 mpg Imp.,2.34 L/10km,31.71 liters per 100 km,310
10924,BMV,COMPACT,3,6,A8,Z,25.78 L/100km,2.94 L/100 km,not-available,222
10925,NIRRAN,MID-SIZE,1.6,4,M5,unknown,17.04 liters per 100 km,7.46 liters per 100 km,12.73 L/100km,177
10926,DOGE,MID-SIZE,2.4,4,A4,X,11.71 liters per 100 km,3.90 km/L,5.56 km per L,226
10927,CHEVO,FULL-SIZE,-1,4,AS6,X,37.49 MPG (AS),5.40 L/100 km,5.88 L/100 km,207
10928,BMV,COMPACT,3,6,M6,Z,7.32 L/100 km,7.71 liters per 100 km,7.49 L/100 km,268
10929,MITSU,STATION WAGON - SMALL,2,4,unknown,X,31.27 liters per 100 km,14.65 liters per 100 km,4.20 km per L,211
10930,FOLD,SUV - SMALL,2.5,4,AS6,E,5.64 km/L,-1,1.15 L/10km,217
10931,CADILUXE,FULL-SIZE,not-recorded,6,AS8,Z,7.71 mpg Imp.,5.90 L/100km,12.39 mpg Imp.,275
10932,KIO,SUV - SMALL,2.4,4,M6,X,12.78 liters per 100 km,6.06 km per L,14.45 L/100km,259
10933,NIRRAN,MID-SIZE,1.6,4,M6,Z,11.48 MPG (AS),5.86 liters per 100 km,13.91 L/100 km,196
10934,MATSUDA,TWO-SEATER,unknown,4,AS6,Z,zero,30.60 km/L,8.93 km/L,182
10935,CADILUXE,SUV - STANDARD,6.2,8,A8,Z,86.39 mpg Imp.,1.91 L/10km,1.04 L/10km,402
10936,FOLD,SUV - SMALL,3.5,6,AS6,X,22.18 mpg Imp.,0.01 L/100 km,14.26 km per L,259
10937,LAND CRAWLER,SUV - SMALL,1.4,4,AS9,Z,7.37 km per L,2.10 L/100 km,11.89 km/L,239
10938,FOLD,SUV - STANDARD,3.5,,AS6,X,37.97 L/100km,20.57 liters per 100 km,3.01 L/10km,366
10939,KIO,FULL-SIZE,3.3,6,AS8,X,10.85 mpg Imp.,16.99 L/100km,4.55 km per L,239
10940,TOYOTI,COMPACT,1.5,4,M6,X,6.64 km per L,5.13 L/100km,26.68 mpg Imp.,177
10941,NIRRAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,1.74 L/10km,4.03 liters per 100 km,11.36 L/100 km,353
10942,TOLVO,MID-SIZE,2,4,AS8,X,6.18 liters per 100 km,20.04 mpg Imp.,10.27 km per L,195
10943,BARUSU,MID-SIZE,3.6,6,AV6,X,22.70 km per L,770.31 MPG (AS),2.56 L/100 km,243
10944,TOLVO,STATION WAGON - SMALL,3,6,AS6,X,2.18 L/10km,0.78 L/100 km,12.36 L/100km,250
10945,CADILUXE,COMPACT,na,4,AS6,Z,4.06 L/100 km,17.21 MPG (AS),8.38 liters per 100 km,232
10946,KIO,MID-SIZE,1.8,4,AS6,X,0.39 L/10km,3.91 L/100 km,25.67 km per L,157
10947,FOLKSWA,SUV - SMALL,2,na,AS6,Z,16.24 L/100 km,58.58 MPG (AS),26.30 mpg Imp.,236
10948,JIPU,SUV - SMALL,3.2,6,A9,X,0.49 L/10km,9.97 L/100km,39.29 mpg Imp.,253
10949,MITSU,COMPACT,1.2,3,AV,X,13.51 mpg Imp.,11.08 MPG (AS),4.75 km per L,164
10950,KIO,SUV - SMALL,2.4,4,AS6,X,53.60 liters per 100 km,17.19 L/100km,37.21 liters per 100 km,226
10951,LAND CRAWLER,SUV - STANDARD,3,,AS8,Z,9.42 L/100km,17.40 L/100km,7.69 km/L,293
10952,CHEVO,MID-SIZE,1.8,4,M6,X,0.72 L/10km,8.80 L/100 km,7.94 L/100km,193
10953,FOLD,PICKUP TRUCK - STANDARD,3.3,6,,X,-9999,15.35 L/100 km,1.87 L/10km,268
10954,FOLD,FULL-SIZE,3.5,6,AS6,X,12.16 km per L,0.74 liters per 100 km,20.59 km per L,294
10955,BMV,SUBCOMPACT,,8,AS8,Z,28.20 mpg Imp.,3.54 L/100 km,14.09 km/L,314
10956,BMV,COMPACT,,6,AS8,Z,20.95 liters per 100 km,0.92 L/10km,15.67 liters per 100 km,235
10957,FOLKSWA,COMPACT,2,4,AM7,missing,17.74 liters per 100 km,17.38 mpg Imp.,5.86 km per L,193
10958,BARUSU,SUV - SMALL,,unestablished,AV6,X,2.34 L/100 km,0.36 L/10km,0.29 L/10km,177
10959,BMV,COMPACT,6,8,AS8,D,5.00 km per L,0.44 L/10km,,198
10960,CADILUXE,FULL-SIZE,,4,AS8,Z,4.88 km per L,723.22 mpg Imp.,11.43 liters per 100 km,226
10961,CADILUXE,FULL-SIZE,3.6,,AS6,X,18.83 mpg Imp.,22.67 MPG (AS),7.74 km/L,249
10962,NIRRAN,PICKUP TRUCK - SMALL,2.5,4,A5,X,-1,6.46 km per L,1.94 L/10km,291
10963,CHEVO,SUBCOMPACT,,4,AS8,Z,30.26 L/100km,22.11 MPG (AS),4.67 km/L,219
10964,BMV,SUBCOMPACT,3.5,,AS8,Z,18.77 MPG (AS),19.26 MPG (AS),22.80 mpg Imp.,280
10965,TOYOTI,PICKUP TRUCK - SMALL,not-available,4,AS6,X,3.20 L/100km,-9999,,279
10966,FOLD,FULL-SIZE,3.5,6,AS6,X,5.78 km/L,11.39 liters per 100 km,14.64 liters per 100 km,286
10967,BMV,FULL-SIZE,3,6,A8,Z,13.00 L/100 km,0.66 L/10km,1.01 L/10km,231
10968,BMV,TWO-SEATER,3,,AM7,Z,0.53 L/100km,19.89 km per L,92.15 MPG (AS),286
10969,KIO,SUV - SMALL,2.4,4,AS6,X,10.51 liters per 100 km,30.96 km/L,39.06 mpg Imp.,260
10970,FOLKSWA,SUV - SMALL,,4,AS8,X,0.13 L/10km,23.21 km/L,0.27 L/10km,237
10971,FOLKSWA,SUBCOMPACT,2,4,AM6,Z,13.24 L/100km,13.60 L/100 km,13.40 liters per 100 km,217
10972,TOYOTI,PICKUP TRUCK - STANDARD,,8,AS6,X,6.62 L/100 km,5.49 L/100 km,16.36 km/L,423
10973,FOLD,COMPACT,1,3,M6,X,0.18 L/10km,23.37 MPG (AS),0.55 L/10km,131
10974,DOGE,MID-SIZE,2,4,,X,53.29 mpg Imp.,17.64 km/L,18.29 km per L,182
10975,TOLVO,COMPACT,2,4,AS8,Z,8.43 km per L,4.19 L/100km,0,219
10976,CHEVO,SUV - STANDARD,3.5,6,A6,X,15.66 mpg Imp.,11.00 km/L,7.14 km per L,326
10977,FOLD,COMPACT,not-recorded,4,M5,,59.26 mpg Imp.,9.41 km/L,0.74 L/10km,199
10978,BMV,SUV - SMALL,,4,na,Z,51.85 km/L,8.17 km per L,35.81 MPG (AS),249
10979,NIRRAN,STATION WAGON - SMALL,1.6,4,AV8,Z,17.05 liters per 100 km,30.86 km/L,10.84 L/100 km,205
10980,FOLD,PICKUP TRUCK - STANDARD,3.5,6,AS10,E,31.38 L/100km,702.55 mpg Imp.,17.44 L/100km,310
10981,CHEVO,PICKUP TRUCK - SMALL,3.6,6,A6,X,2.70 L/10km,0.52 L/10km,17.18 L/100km,263
10982,TOYOTI,COMPACT,1.5,4,M6,X,9.26 L/100km,5.43 L/100km,0.75 L/10km,177
10983,JIPU,not-available,2.4,4,A6,X,not-available,6.70 MPG (AS),4.20 km/L,222
10984,CHEVO,VAN - PASSENGER,6,8,A6,E,2.23 km/L,13.12 L/100km,3.06 L/10km,403
10985,CADILUXE,FULL-SIZE,3,6,AS8,Z,8.44 liters per 100 km,70.37 km/L,44.54 MPG (AS),282
10986,FOLD,SUV - SMALL,3.5,,AS6,X,22.31 L/100km,36.20 km/L,13.51 L/100km,303
10987,DOGE,FULL-SIZE,2.5,4,A8,X,1.75 L/10km,26.86 mpg Imp.,6.97 km/L,246
10988,FOLKSWA,STATION WAGON - SMALL,2.5,5,A6,X,108.51 mpg Imp.,0.16 L/10km,109.93 MPG (AS),218
10989,TOLVO,STATION WAGON - SMALL,3,6,AS6,X,17.23 mpg Imp.,16.46 L/100 km,16.42 liters per 100 km,246
